codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
85;97019;Castello di Brianza - Biblioteca Comunale;CASTELLO DI BRIANZA;LC;23884;VIA EDMONDO DE AMICIS ;40;8810;21729;45,75557035;9,34721175
86;12039;Casorate Sempione - Biblioteca Comunale;CASORATE SEMPIONE;VA;21011;VIA DE AMICIS 3;300;18289;30025,13;45,6717698;8,74007651
87;17096;Lumezzane - Biblioteca Civica;LUMEZZANE;BS;25065;VIA MONTE GRAPPA 80;560;50562;134447,45;45,65032944;10,26326535
88;108044;Usmate Velate - Biblioteca Comunale;USMATE VELATE;MB;20040;PIAZZA S. PERTINI 4;487;29056;77531;;
89;97004;Ballabio - Biblioteca Comunale;BALLABIO;LC;23811;PIAZZETTA PAPA GIOVANNI XXIII ;75;11150;27407,92;45,901973;9,420562469
90;17042;Castel Mella - Biblioteca Comunale;CASTEL MELLA;BS;25030;VIA ONZATO 56;149;25328;71560,64;45,50636203;10,14799863
91;17029;Brescia - Biblioteca dell'Istituto Cesare Arici;BRESCIA;BS;25124;VIA TRIESTE 17;100;11043;16423,03;45,53738215;10,22498823
92;19084;Rivolta d'Adda - Biblioteca Comunale;RIVOLTA D'ADDA;CR;26027;VIA STEFANO RENZI 5;540;49663;114733,5;45,47029161;9,51323343
93;17146;Pompiano - Biblioteca Comunale Don Angelo Benedetti;POMPIANO;BS;25030;PIAZZA SANT'ANDREA 32;238;7431;28453,81;45,43138677;9,9875476
94;18094;Montalto Pavese - Biblioteca Comunale;MONTALTO PAVESE;PV;27040;VIA G. MUSETTI 6;30;2451;867;44,97864938;9,21204718
95;20055;San Benedetto Po - Biblioteca Comunale;SAN BENEDETTO PO;MN;46027;VIA DUGONI 9;345;20560;69569,82;45,04214424;10,92984743
96;20030;Mantova - Centro di lettura Colle Aperto;MANTOVA;MN;46100;VIA CALAMANDREI 25;70;6731;5000;45,18192755;10,7918818
97;19069;Pescarolo ed Uniti - Biblioteca Comunale;PESCAROLO ED UNITI;CR;26033;VIA GIUSEPPE MAZZINI 73;265;23680;42405,23;45,19304776;10,18765649
98;15059;Cassano d'Adda - Biblioteca Comunale;CASSANO D'ADDA;MI;20062;VIA DANTE ALIGHIERI 4;900;42586;167197,01;45,52669133;9,5208808
99;20050;Rivarolo Mantovano - Biblioteca Comunale;RIVAROLO MANTOVANO;MN;46017;VIA GONZAGA 39;780;43840;111909,8;45,0707269;10,4321976
100;17123;Ome - Biblioteca Comunale;OME;BS;25050;VIA MAESTRINI 1;113;9937;33631,15;45,62389611;10,12445095
101;16099;Fino del Monte - Biblioteca Comunale;FINO DEL MONTE;BG;24020;VIA DA FIN 11;150;2028;23590,34;45,89045878;9,99209163
102;13004;Albese con Cassano - Biblioteca Comunale;ALBESE CON CASSANO;CO;22032;VIA ROMA 23;157;17451;32942,71;45,79696652;9,16465449
103;12058;Cuasso al Monte - Biblioteca Comunale;CUASSO AL MONTE;VA;21050;VIA MADONNA 19;80;9966;9256,84;45,8935048;8,8803917
104;12021;Brinzio - Biblioteca Comunale;BRINZIO;VA;21030;PIAZZA GENERALE ENRICO RIZIERO GALVALIGI 2;60;6117;253,8;45,88818166;8,79067065
105;19021;Casalmaggiore - Biblioteca Comunale;CASALMAGGIORE;CR;26041;VIA GUGLIELMO MARCONI 8;1800;64745;207938,79;44,98610469;10,41636663
106;108040;Seveso - Biblioteca Comunale;SEVESO;MB;20030;CORSO GIUSEPPE GARIBALDI 21;778;42601;157900,45;45,64341307;9,13623801
107;13110;Grandate - Biblioteca Comunale;GRANDATE;CO;22070;VIA COMO 12;96;7332;18295,64;45,77364114;9,06039922
108;108033;Monza - Biblioteca Comunale Triante;MONZA;MB;20052;VIA MONTE AMIATA 60;235;17892;;45,58252565;9,2559096
109;17080;Gottolengo - Biblioteca Comunale;GOTTOLENGO;BS;25023;VIA VITTORIO VENETO 7;413;25058;43062,67;45,29142391;10,26924751
110;108033;Monza - Biblioteca San Gerardo;MONZA;MB;20052;VIA LECCO 12;1200;32636;;45,5860124;9,28226359
111;12073;Gazzada Schianno - Biblioteca Comunale;GAZZADA SCHIANNO;VA;21045;VIALE GIACOMO MATTEOTTI 13;195;12747;48902,95;45,78252674;8,82789913
112;20067;Villa Poma - Biblioteca Comunale;VILLA POMA;MN;46020;VIA ROMA SUD 13;180;7015;28828;44,99795663;11,1138096
113;17166;Rovato - Istituto di istruzione superiore Lorenzo Gigli;ROVATO;BS;25038;VIALE EUROPA 2;196;3411;10132;45,56113418;9,99633458
114;15172;Pessano con Bornago - Biblioteca Comunale F. Tarchi;PESSANO CON BORNAGO;MI;20060;VIA UMBERTO I ;300;16322;123147,05;45,54539564;9,38926995
115;14049;Piateda - Biblioteca Comunale;PIATEDA;SO;23020;VIA RAGAZZI DEL '99 1;120;6770;42552,93;46,16082414;9,94236148
116;18023;Bressana Bottarone - Biblioteca Comunale Gianni Rodari;BRESSANA BOTTARONE;PV;27042;PIAZZA GUGLIELMO MARCONI 18;90;12978;18471,6;45,07690291;9,13394426
117;98009;Casalmaiocco - Biblioteca Comunale;CASALMAIOCCO;LO;26831;PIAZZA ROMA 15;157;5970;16033,12;45,35334852;9,37336946
118;15140;Melegnano - Biblioteca Comunale;MELEGNANO;MI;20077;PIAZZA DELLE ASSOCIAZIONI ;1224;35829;229596,37;45,35709739;9,3211642
119;13248;San Siro - Biblioteca Comunale;SAN SIRO;CO;22010; LOCALITA SANTA MARIA ;95;6351;6587,72;46,06369312;9,26738927
120;17081;Gussago - Biblioteca Comunale Carlo Bonometti;GUSSAGO;BS;25064;PIAZZA SAN LORENZO 9;450;38869;142328,06;45,59423701;10,15305809
121;98034;Mairago - Biblioteca Comunale;MAIRAGO;LO;26825;PIAZZA ROMA 1;50;4407;6884,04;45,25203415;9,57960408
122;17020;Borgo San Giacomo - Biblioteca Comunale;BORGO SAN GIACOMO;BS;25022;PIAZZA SAN GIACOMO 3 ;130;11111;17281,21;45,34964856;9,96836373
123;16173;Pradalunga - Biblioteca Comunale;PRADALUNGA;BG;24020;VIA ALDO MORO 8;320;14981;52865;45,74566479;9,77926461
